代码,名称,收盘价,涨跌幅,技术形态,买入信号,MA5,MA10,MA20,MA60,布林带上轨,布林线中轨,布林线下轨,布林带位置,MACD_DIF,MACD_DEA,MACD柱,MACD信号,多头排列
000610.SZ,*ST西旅,7.65,2.00%,阳线||布林带下轨,观望,21.68,22.26,22.76,25.51,25.87,22.76,19.65,下轨下方,-1.16,-0.93,-0.46,死叉,否
000612.SZ,焦作万方,12.47,5.23%,阳线||布林带下轨,观望,115.08,121.3,127.0,129.85,146.34,127.0,107.66,下轨下方,-4.74,-1.69,-6.09,无信号,否
000615.SZ,*ST美谷,3.56,2.59%,阳线||布林带下轨,观望,36.96,39.41,39.69,39.34,50.16,39.69,29.22,下轨下方,-1.36,0.1,-2.91,死叉,否
000619.SZ,海螺新材,5.96,3.47%,阳线||布林带下轨,观望,54.26,56.21,57.05,57.68,64.32,57.05,49.77,下轨下方,-1.26,-0.11,-2.3,无信号,否
000620.SZ,盈新发展,3.13,1.95%,阳线||布林带下轨,观望,10.28,10.55,10.24,10.23,12.3,10.24,8.17,下轨下方,-0.06,0.16,-0.43,死叉,否
000626.SZ,远大控股,8.01,1.26%,阳线||布林带下轨,观望,85.24,91.01,94.9,90.47,111.06,94.9,78.73,下轨下方,-2.68,0.34,-6.04,无信号,否
000628.SZ,高新发展,59.38,2.27%,价升||布林带下轨,观望,182.32,188.8,193.94,177.35,221.14,193.94,166.75,下轨下方,-1.11,4.17,-10.55,无信号,否
000629.SZ,钒钛股份,3.74,7.47%,阳线||MACD金叉||多头排列||布林带上轨||MA5上穿MA10,MACD金叉;多头排列,18.92,18.54,18.14,17.78,21.7,18.14,14.59,上轨上方,0.66,0.29,0.75,金叉,是
000630.SZ,铜陵有色,6.36,10.03%,阳线||MACD金叉||布林带上轨||MA5上穿MA10,MACD金叉,229.45,228.13,222.05,222.74,280.12,222.05,163.99,上轨上方,7.63,1.64,11.97,金叉,否
000631.SZ,顺发恒能,3.21,0.94%,阳线||布林带下轨,观望,58.45,62.23,63.09,68.33,77.25,63.09,48.93,下轨下方,-3.15,-1.32,-3.67,死叉,否
000633.SZ,合金投资,6.18,3.00%,阳线||布林带下轨,观望,48.32,50.28,51.97,55.17,58.08,51.97,45.87,下轨下方,-1.97,-1.11,-1.73,无信号,否
000635.SZ,英 力 特,7.52,2.59%,阳线||布林带下轨,观望,27.68,29.21,30.1,32.92,34.27,30.1,25.93,下轨下方,-1.42,-0.83,-1.18,无信号,否
000636.SZ,风华高科,37.62,10.00%,阳线||多头排列||MA5上穿MA10,多头排列,502.08,489.27,447.99,395.54,571.1,447.99,324.87,布林带内,30.26,32.26,-3.99,死叉,是
000637.SZ,茂化实华,4.56,2.93%,阳线||布林带下轨,观望,79.5,83.13,84.09,85.95,97.6,84.09,70.58,下轨下方,-2.18,-0.14,-4.09,无信号,否
000639.SZ,ST西王,1.58,1.94%,阳线||布林带下轨,观望,17.58,19.2,21.71,27.94,28.96,21.71,14.45,下轨下方,-3.0,-2.35,-1.3,无信号,否
000652.SZ,泰达股份,3.83,2.13%,阳线||布林带下轨,观望,112.96,122.37,126.7,125.92,150.96,126.7,102.44,下轨下方,-5.01,-0.62,-8.77,无信号,否
000655.SZ,金岭矿业,7.59,3.12%,阳线||布林带下轨,观望,47.74,49.69,51.59,57.43,57.11,51.59,46.06,下轨下方,-2.45,-1.87,-1.17,无信号,否
000656.SZ,*ST金科,1.47,1.38%,阳线||布林带下轨,观望,15.45,16.54,17.15,17.44,22.56,17.15,11.74,下轨下方,-0.92,-0.16,-1.52,死叉,否
000657.SZ,中钨高新,62.38,10.00%,阳线||布林带下轨,观望,303.31,333.7,342.93,337.36,438.03,342.93,247.83,下轨下方,-11.22,4.34,-31.11,无信号,否
000659.SZ,珠海中富,4.14,0.24%,价升||布林带下轨,观望,66.56,68.1,67.72,69.06,77.21,67.72,58.23,下轨下方,-1.22,-0.16,-2.13,死叉,否
000663.SZ,永安林业,6.47,2.54%,阳线||布林带下轨,观望,24.72,26.19,26.63,28.17,31.76,26.63,21.49,下轨下方,-1.04,-0.31,-1.46,无信号,否
000668.SZ,*ST荣控,17.9,2.87%,阳线||布林带下轨,观望,60.92,63.55,60.3,54.54,72.48,60.3,48.13,下轨下方,1.6,2.92,-2.63,无信号,否
000670.SZ,盈方微,8.9,10.01%,阳线||布林带下轨,观望,81.72,87.26,86.88,91.01,115.25,86.88,58.52,下轨下方,-3.96,-0.52,-6.88,死叉,否
000672.SZ,上峰水泥,18.64,3.04%,阳线||布林带下轨,观望,133.43,137.56,129.17,122.8,173.85,129.17,84.49,下轨下方,1.18,5.27,-8.19,死叉,否
000676.SZ,智度股份,6.81,0.15%,阳线||布林带下轨,观望,69.87,74.48,77.26,83.34,94.23,77.26,60.29,下轨下方,-4.6,-2.19,-4.8,无信号,否
000678.SZ,襄阳轴承,12.38,0.24%,阳线||布林带下轨,观望,66.86,70.42,68.89,70.3,82.39,68.89,55.38,下轨下方,-1.44,0.18,-3.24,死叉,否
000679.SZ,大连友谊,6.77,1.35%,阳线||布林带下轨,观望,33.38,34.12,34.51,34.53,37.06,34.51,31.97,下轨下方,-0.41,0.0,-0.83,无信号,否
000680.SZ,山推股份,11.63,0.61%,阳线||布林带下轨,观望,61.59,64.55,65.1,66.39,73.22,65.1,56.99,下轨下方,-1.37,-0.2,-2.36,无信号,否
000681.SZ,视觉中国,20.59,0.10%,价升||布林带下轨,观望,104.8,109.06,109.14,111.27,126.25,109.14,92.02,下轨下方,-2.22,0.04,-4.52,无信号,否
000682.SZ,东方电子,13.74,3.62%,阳线||布林带下轨,观望,219.42,222.4,223.58,222.79,248.48,223.58,198.67,下轨下方,-1.8,1.51,-6.62,死叉,否
000683.SZ,博源化工,7.5,0.40%,阳线||布林带下轨,观望,60.82,65.93,70.29,72.95,85.03,70.29,55.56,下轨下方,-3.95,-1.6,-4.69,无信号,否
000690.SZ,宝新能源,5.21,0.77%,价升,观望,,,,,,,,,,,,,
