日期,代码,名称,市场板块,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,成交量(手),昨日成交量(手),成交量对比,量能状态,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-22,300500.SZ,启迪设计,创业板,11.66,0.43%,开,119053,2232,0万元,0.79,1690.0,1.45亿,14480,36428,-60.25%,缩量,19.54万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688184.SH,ST帕瓦,科创板,13.67,1.71%,开,119036,2233,0万元,0.43,1048.0,77.68亿,776820,3634833,-78.63%,缩量,13.74万,5.7,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,000663.SZ,永安林业,深市主板,6.32,0.16%,开,119022,2234,0万元,0.96,1823.0,2.86亿,28587,59799,-52.19%,缩量,19.36万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600892.SH,*ST大晟,沪市主板,3.92,1.82%,开,119020,2235,0万元,0.77,993.0,2.57亿,25718,66725,-61.46%,缩量,21.93万,5.7,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300962.SZ,中金辐照,创业板,13.51,0.82%,开,118974,2236,0万元,0.59,1487.0,1.10亿,11021,37449,-70.57%,缩量,35.67万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301113.SZ,雅艺科技,创业板,25.69,0.75%,开,118895,2237,0万元,0.88,1517.0,5903.00万,5903,13446,-56.10%,缩量,14.16万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300515.SZ,三德科技,创业板,16.91,0.48%,开,118876,2238,0万元,0.53,1650.0,9786.00万,9786,36831,-73.43%,缩量,34.12万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688298.SH,东方生物,科创板,21.99,0.87%,开,118767,2239,0万元,0.63,1441.0,65.93亿,659339,2087872,-68.42%,缩量,44.33万,5.6,6.0,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,000915.SZ,华特达因,深市主板,27.9,0.29%,开,118747,2240,0万元,0.66,1731.0,6213.00万,6213,18694,-66.76%,缩量,65.34万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600493.SH,凤竹纺织,沪市主板,6.9,0.44%,开,118743,2241,0万元,0.63,1656.0,2.40亿,23952,75846,-68.42%,缩量,18.77万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002105.SZ,信隆健康,深市主板,6.32,0.16%,开,118732,2242,0万元,0.58,1794.0,2.84亿,28356,98342,-71.17%,缩量,23.03万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603273.SH,天元智能,沪市主板,16.23,0.62%,开,118719,2243,0万元,0.73,1562.0,9616.00万,9616,26363,-63.52%,缩量,9.10万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300412.SZ,迦南科技,创业板,4.88,0.21%,开,118656,2244,0万元,0.68,1763.0,3.60亿,35998,106291,-66.13%,缩量,22.83万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600668.SH,尖峰集团,沪市主板,8.42,0.24%,开,118620,2245,0万元,0.59,1743.0,2.09亿,20858,70689,-70.49%,缩量,34.77万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600238.SH,*ST椰岛,沪市主板,5.2,1.36%,开,118592,2246,0万元,0.69,1177.0,2.27亿,22684,65306,-65.27%,缩量,23.15万,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,605339.SH,南侨食品,沪市主板,16.81,0.60%,开,118542,2247,0万元,0.57,1555.0,9307.00万,9307,32841,-71.66%,缩量,71.32万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600639.SH,浦东金桥,沪市主板,9.99,0.40%,开,118490,2248,0万元,0.54,1648.0,1.65亿,16520,60650,-72.76%,缩量,84.94万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,605007.SH,五洲特纸,沪市主板,14.16,0.21%,开,118471,2249,0万元,0.62,1741.0,1.24亿,12360,39879,-69.01%,缩量,56.86万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300218.SZ,安利股份,创业板,14.24,0.35%,开,118411,2250,0万元,0.41,1665.0,1.17亿,11709,56673,-79.34%,缩量,30.80万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,000514.SZ,渝 开 发,深市主板,4.47,0.45%,开,118277,2251,0万元,0.49,1603.0,3.58亿,35842,145109,-75.30%,缩量,37.72万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
